Episode,Total Reward,Mean Distance,Final Distance,Mean Control Cost,Steps
69,-48.85674359704255,0.24934586051085575,0.3053457283335405,0.7277890114299953,50
70,-38.431817350792514,0.14242535845143373,0.13268779366832592,0.6262109885644168,50
71,-41.059505106945544,0.07345021627506282,0.10072975685733089,0.747739885863848,50
72,-38.349428167413016,0.17434170800885243,0.32269603915579054,0.592646855339408,50
73,-36.486252849528,0.1464539161245783,0.05409228285306395,0.5832711408659815,50
74,-35.97381464394422,0.1662969841813034,0.11556656998733988,0.5531793086975813,50
75,-43.16894399483011,0.19508305074950166,0.2213564250991776,0.6682958291471004,50
76,-48.66393586364946,0.2783796567237746,0.17129519058071496,0.6948990605492145,50
77,-46.91786204380406,0.20400833876979577,0.06553708593899076,0.7343489021062851,50
78,-36.41289554848856,0.1626971725999483,0.048770466484493964,0.5655607383698225,50
79,-43.98069228015577,0.17073680947864772,0.1308983758994934,0.7088770361244678,50
80,-42.2025817902554,0.12983167329762166,0.049455951208892186,0.7142199625074863,50
81,-42.77680945536836,0.21335121433264898,0.3298612577811274,0.6421849747747183,50
82,-48.16626980606687,0.22736404725056833,0.14305241482272477,0.7359613488707691,50
83,-42.346009664881734,0.18279968523777548,0.08636030462352866,0.6641205080598592,50
84,-38.65469341969565,0.14695354957482373,0.19539562016477455,0.6261403188190888,50
85,-40.861073174977655,0.19271322696465978,0.18998912671681145,0.6245082365348935,50
86,-48.788690994822886,0.22272138855147197,0.23999494718184655,0.753052431344986,50
87,-50.421289238211244,0.21456307357304766,0.33306210258939306,0.7938627111911774,50
88,-46.54093908896173,0.23069426465881343,0.16357094975819408,0.7001245171204209,50
89,-37.152134953562715,0.2205651416356224,0.17683104008472647,0.5224775574356317,50
90,-44.685066662363674,0.20633288390204277,0.12472143328981375,0.687368449345231,50
91,-44.85120508605005,0.1401691661718014,0.1309362257267953,0.7568549355491996,50
92,-42.563130995920304,0.14143269074541354,0.17523514014321906,0.7098299291729927,50
93,-52.05756195175899,0.2146797288036849,0.16116114210029103,0.8264715102314949,50
94,-43.18004491911202,0.2198323748180275,0.19402587964477344,0.643768523564213,50
95,-40.123453941256216,0.1766453215747969,0.250386010137614,0.6258237572503276,50
96,-35.9845911176022,0.11174505841933945,0.1314145788941966,0.607946763932705,50
97,-43.027125172930994,0.16711911202704985,0.16029114044176213,0.6934233914315701,50
98,-41.758345402429306,0.173239700800068,0.18486169027731628,0.6619272072485183,50
99,-47.13383751856788,0.24797709787835776,0.2040608576792776,0.694699652493,50
100,-42.31321009566477,0.11154925132942059,0.13300979547449993,0.7347149505838751,50
