Episode,Total Reward,Mean Distance,Final Distance,Mean Control Cost,Steps
1,-43.134824661013,0.19792276242629203,0.07423891875583868,0.6647737307939678,50
2,-42.19402311702328,0.2083377175011344,0.30422105886093603,0.6355427448393312,50
3,-39.65709372313158,0.15739657411005828,0.20237102846232286,0.6357453003525734,50
4,-34.72315679267367,0.1111117374962831,0.13198207203193668,0.5833513983571902,50
5,-52.45256632957842,0.20170482848216797,0.13452915218287959,0.8473464981094003,50
6,-39.14573780553458,0.1957414101462894,0.05259899572107371,0.587173345964402,50
7,-33.48001762289536,0.11922683642636624,0.15935100530000823,0.5503735160315409,50
8,-46.43992900186274,0.2642626040594762,0.20498492868296736,0.6645359759777785,50
9,-47.174496599967604,0.26947213719656726,0.19830833702816095,0.6740177948027849,50
10,-44.35331996727659,0.21562554169668224,0.19440393730980546,0.6714408576488495,50
11,-45.129964557915116,0.21102119347958154,0.3217653481984505,0.6915780976787209,50
12,-48.818768972194555,0.3370474266193581,0.29210840390372245,0.639327952824533,50
13,-41.70153116072149,0.15208959344971798,0.1411493647890947,0.6819410297647118,50
14,-40.22328028954191,0.18854090385802053,0.06959385227902076,0.6159247019328177,50
15,-40.03007356970817,0.18393493495122815,0.09930076508587943,0.6166665364429355,50
16,-37.91489732708257,0.1320346115670048,0.03045536012501166,0.6262633349746466,50
17,-44.12809545043837,0.1461042815186048,0.014018774457553076,0.7364576274901629,50
18,-44.54986573847906,0.21253932135160344,0.3391450901695476,0.6784579934179783,50
19,-46.466162158413375,0.19957178984311522,0.1034230428534011,0.7297514533251523,50
20,-41.98891698677958,0.18692724164890695,0.12267088401628998,0.652851098086685,50
21,-46.49921926242869,0.350708164114805,0.36264848968082947,0.5792762211337685,50
22,-42.93889361412922,0.12895224572675404,0.05543383965208258,0.7298256265558303,50
23,-47.65219728391656,0.23900130922422572,0.23170820311543674,0.7140426364541054,50
24,-34.08693886115557,0.08513607182267423,0.14837814642174502,0.5966027054004371,50
25,-47.444277315271776,0.18313918670381857,0.18156721036547002,0.7657463596016169,50
26,-39.847566870225656,0.16805096028741587,0.13468173620203597,0.6289003771170973,50
27,-38.1904443237665,0.11075530118442108,0.0198541972010986,0.6530535852909088,50
28,-38.13992835265286,0.140287221048154,0.12057685996659373,0.6225113460049033,50
29,-41.857970820898274,0.14879658036250773,0.16603170630017317,0.6883628360554576,50
30,-40.88918764946682,0.1401674629117693,0.13216851287764017,0.6776162900775671,50
31,-37.673843111127546,0.16611227294396483,0.10750098015508146,0.5873645892785863,50
32,-47.41327255748708,0.2108649194740752,0.16719443819642044,0.7374005316756665,50
33,-41.50406597187265,0.09957197177791731,0.19460814177728689,0.7305093476595357,50
34,-45.96943933784506,0.15627018211176832,0.16471455657249326,0.763118604645133,50
35,-41.13437809821658,0.11362120479875676,0.16267666087558189,0.709066357165575,50
36,-42.5981667069327,0.19974750624425688,0.21356800078412153,0.652215827894397,50
37,-46.950884040200364,0.24354332040505913,0.22115363649096148,0.6954743603989482,50
38,-46.030895155045975,0.1786738868082281,0.07181155901608081,0.7419440162926912,50
39,-41.155505043119625,0.14244243369699405,0.08553731908334616,0.6806676671653986,50
40,-46.992481846290886,0.2006305077657709,0.16046413389755446,0.7392191291600466,50
41,-46.00046879091562,0.22032626644545833,0.12954637191578017,0.6996831093728543,50
42,-36.582645661703914,0.11632210908626256,0.049108662739115114,0.6153308041478158,50
43,-44.08297013059497,0.20753174033691316,0.2577204201219017,0.6741276622749865,50
44,-40.22704337758922,0.25111270748786224,0.32782061421080744,0.5534281600639224,50
45,-38.73873339791861,0.1480920362869435,0.2169769750332854,0.6266826316714287,50
46,-40.254978653733026,0.12967090937756684,0.05912005938305178,0.6754286636970938,50
47,-47.76022727369858,0.22664950485370416,0.14563190510813873,0.7285550406202674,50
48,-45.046362907347834,0.264620652658895,0.09063996756444298,0.636306605488062,50
49,-40.399734395065245,0.15397136573629258,0.17197075436901435,0.6540233221650124,50
50,-40.44164793738452,0.11215803075308141,0.07000681187346293,0.6966749279946088,50
51,-40.356911616765345,0.1852660851812441,0.1949006025694499,0.621872147154063,50
52,-43.528638041208225,0.14524186727782173,0.10553152626865882,0.7253308935463428,50
53,-40.97788046585957,0.24120640129439605,0.25496024863015304,0.5783512080227956,50
54,-43.34144156765793,0.1986074315318179,0.20466442211864821,0.668221399821341,50
55,-46.68248377636655,0.1900196260006394,0.20644280924862635,0.7436300495266914,50
56,-39.25738913913159,0.2049388212566999,0.09664943122187343,0.5802089615259319,50
57,-40.88752014433058,0.15613894718904553,0.07214633883479343,0.6616114556975663,50
58,-38.17360667237368,0.18311505468661138,0.3084484424900897,0.5803570787608624,50
59,-44.80874470865658,0.2773525185580046,0.14474314527768217,0.6188223756151274,50
60,-41.58777351483557,0.18492633864131652,0.3466221421016918,0.646829131655395,50
61,-47.70728724452808,0.2930274167010843,0.19813650892202123,0.6611183281894774,50
62,-53.11227206187018,0.29879883495153325,0.17072030608713815,0.76344660628587,50
63,-44.94555610181873,0.17223545934001322,0.27251650886860934,0.7266756626963615,50
64,-39.85421266959722,0.11515892017515776,0.20581544839198515,0.6819253332167864,50
65,-48.18282602695566,0.26139425172764885,0.37947446683441016,0.7022622688114644,50
66,-43.42957263878046,0.24289231331468777,0.057047545898974185,0.6256991394609213,50
67,-40.97932063513383,0.14495245868432233,0.16638096490527773,0.6746339540183545,50
68,-40.80679179241291,0.09018385961230209,0.0689355692976942,0.725951976235956,50
