Episode,Total Reward,Mean Distance,Final Distance,Minimum Distance,Mean Control Cost,Success,Steps
1,-10.091355387985118,0.18957981139200686,0.11735948315798764,0.11619163081313556,0.012247296367695526,False,50
2,-6.055997793509573,0.11324660677007296,0.11484939823419821,0.08838535690043706,0.007873349100118504,False,50
3,-7.981066487360147,0.14742807729336774,0.10227222853991232,0.07447686528224963,0.012193252453835157,False,50
4,-6.34687773843288,0.1196108077124444,0.03582307673310206,0.010588362305380704,0.0073267470562132075,True,50
5,-11.648808496731414,0.220506985637204,0.16383175225012253,0.1565046634156374,0.012469184297424362,False,50
6,-7.508222659808357,0.14303072319115992,0.17054640189336423,0.0455278884845854,0.007133730005007237,False,50
7,-5.614963290760323,0.1050335021890054,0.043453081821212027,0.007484358597159189,0.007265763626201079,True,50
8,-7.622604095931731,0.14475873865365252,0.17414795218189774,0.018066630622812465,0.007693343264982104,False,50
9,-7.419648667177805,0.13656189461018037,0.17846709871549957,0.018212001367478473,0.011831078733375761,False,50
10,-8.614113143033213,0.16016723320264797,0.14333418040444004,0.07246616748594574,0.012115029658016283,False,50
11,-7.119474120772706,0.1360392911729269,0.16647250899239996,0.05042197528808903,0.006350191242527217,False,50
12,-10.492403201464958,0.19692996311117625,0.12135093468021937,0.11350544955134806,0.012918100918122946,False,50
13,-5.34555420991963,0.09492625347027721,0.015089305644442403,0.012786451533302727,0.011984830728115412,True,50
14,-8.244496454805416,0.15205859527109283,0.13296954915325104,0.06477944915371409,0.012831333825015463,False,50
15,-6.992336113637165,0.13139478496025025,0.16213410453443372,0.005536429815826065,0.0084519373124931,False,50
16,-7.2745562336020475,0.137187850699335,0.09286906975443882,0.0384837144222171,0.008303273972705938,False,50
17,-6.619642932084727,0.12370128000039354,0.13425999782737771,0.015739546946822922,0.008691578641301021,False,50
18,-4.628892175030315,0.08414971061151245,0.021026975817705493,0.016172355299537044,0.008428132889093831,True,50
19,-9.964329573939873,0.18636958306981188,0.14933589288004015,0.11823772044412997,0.012917008408985567,False,50
20,-10.658082329175718,0.19908207506579156,0.14076836590003486,0.1389894521764681,0.014079571517722798,False,50
21,-6.745709301827391,0.12668630492138508,0.10126400661298074,0.01957789248972986,0.008227881115162745,False,50
22,-8.401727624870666,0.1553478558802478,0.13827931157477566,0.06983102994801016,0.01268669661716558,False,50
23,-5.699371357625805,0.10638859857170355,0.10829153826925338,0.055091051631210336,0.007598828580812551,False,50
24,-5.179909879499641,0.09124726984150829,0.0738679547280636,0.06758722441483171,0.012350927748484538,False,50
25,-6.8445473255688905,0.12527963450218738,0.15538216515950698,0.03764336838649305,0.011611312009190442,False,50
26,-10.947817159291871,0.20534926640653847,0.14510779566403761,0.14141022066462897,0.01360707677929895,False,50
27,-8.061885881663532,0.15311249965023715,0.18484809793943108,0.028011035118796622,0.008125217983033508,False,50
28,-8.527589072924904,0.1611905723714243,0.15021523149297303,0.06509466324552854,0.009361209087073804,False,50
29,-10.014616995771826,0.1916616209331237,0.1381748234299558,0.10806758912751303,0.008630718982312829,False,50
30,-5.686605798697044,0.10518578123602909,0.09435009737696916,0.017125099044935966,0.008546334737911821,False,50
31,-6.449890723038148,0.12171119537249972,0.033473885206066874,0.009151612416151833,0.007286619088263251,True,50
32,-7.471507970752778,0.13852834822347626,0.17251528002167843,0.005233981172528409,0.010901811191579326,False,50
33,-5.990695451743809,0.10706157391770132,0.04129252911644344,0.038562409315398546,0.01275233511717488,True,50
34,-7.326899848842173,0.1393572536297176,0.061318047047521314,0.029985487939907244,0.007180743347125826,False,50
35,-8.473564447596615,0.15713986995269433,0.1778091050349131,0.04279295545446167,0.01233141899923794,False,50
36,-9.287241704555417,0.17272255979938336,0.14128940522888236,0.09940593366163837,0.013022274291724898,False,50
