Episode,Update,Environment Steps,Total Reward,Mean Distance,Final Distance,Mean Control Cost,Steps
1,1,1024,-56.15661037566727,0.16575130713035016,0.14204152975034984,0.9573809003829956,50
2,1,1024,-51.296497284553624,0.23934346845611304,0.35087430405146747,0.7865864772349596,50
3,1,1024,-50.62434247383566,0.21971224610986106,0.1876058685123216,0.7927746033668518,50
4,1,1024,-49.968489714685205,0.22037970350629352,0.12039259266012538,0.7789900907874108,50
5,1,1024,-52.72198554843728,0.1802723956048617,0.10060516699717696,0.8741673153638839,50
6,1,1024,-44.675726864588945,0.09050081556517664,0.06421981168355455,0.8030137217266019,50
7,1,1024,-46.88315706119803,0.15856550570147557,0.15995337778755406,0.7790976355224848,50
8,1,1024,-48.454892535399,0.17182320812127203,0.0471706201785271,0.7972746425867081,50
9,1,1024,-44.64365371559613,0.12827323903531931,0.17478286748949992,0.7645998352766037,50
10,1,1024,-50.14140253275771,0.2602457190573492,0.08550636150340803,0.7425823315978051,50
11,1,1024,-51.34353906222828,0.16102185642891087,0.10425562771600798,0.8658489248156548,50
12,1,1024,-51.42035862206845,0.20509233090270093,0.3118549692534646,0.8233148415386676,50
13,1,1024,-48.85231870004007,0.2326002855526346,0.2825294418759724,0.7444460884481668,50
14,1,1024,-48.991477067642705,0.1801322836999754,0.15630096049028255,0.7996972576528788,50
15,1,1024,-48.50962327654547,0.16952616591957942,0.08462572947573306,0.8006662996113301,50
16,1,1024,-51.36751205376149,0.2103144880188226,0.14319946228004202,0.817035753056407,50
17,1,1024,-49.92008044825717,0.16601605276089856,0.029995626227782644,0.8323855562042445,50
18,1,1024,-46.81684204373012,0.16541371766393398,0.1714487283012813,0.7709231232106686,50
19,1,1024,-51.303683352212474,0.23753618744244887,0.23007140872802237,0.7885374796018004,50
20,1,1024,-49.89015783739631,0.18802798345636212,0.11702103700961344,0.809775173291564,50
21,2,2048,-55.68658688580761,0.23765056075717425,0.30948801743589827,0.8760811769589781,50
