Metric,Random Baseline,Trained PPO
Mean Episode Reward,-42.80721275295569,-7.955675128434607
Median Episode Reward,-42.45457033040102,-7.512231688277886
Reward Standard Deviation,4.132675670755548,2.0134829533108163
Mean Target Distance,0.18568496809809937,0.14878465381054573
Mean Final Distance,0.1669223094273255,0.12554928779501892
Mean Control Cost,0.6704592869610149,0.010328848758146422
