Episode,Total_Reward,Steps,Goal_Reached,Outcome,Epsilon,Maximum_Q_Change,Success,Rolling_Average_Reward,Rolling_Average_Steps,Rolling_Success_Rate,Rolling_Average_Q_Change
51,-23,52,True,Goal reached,0.778312557068642,3.6482419567572926,1,-99.98039215686275,45.96078431372549,45.09803921568628,4.144821896059269
52,-86,17,False,Trap reached,0.7744209942832988,2.8616407743617103,0,-99.71153846153847,45.40384615384615,44.230769230769226,4.120145336026623
53,18,31,True,Goal reached,0.7705488893118823,5.3289921042115935,1,-97.49056603773585,45.132075471698116,45.28301886792453,4.142953765615019
54,69,16,True,Goal reached,0.7666961448653229,4.9540275037198604,1,-94.4074074074074,44.592592592592595,46.2962962962963,4.157973649653997
55,-60,7,False,Trap reached,0.7628626641409962,2.152336049999999,0,-93.78181818181818,43.90909090909091,45.45454545454545,4.1215075114784705
56,38,27,True,Goal reached,0.7590483508202912,2.275365427645184,1,-91.42857142857143,43.607142857142854,46.42857142857143,4.088540688552876
57,-76,15,False,Trap reached,0.7552531090661897,1.9371024450000007,0,-91.15789473684211,43.10526315789474,45.614035087719294,4.050796157964229
58,43,18,True,Goal reached,0.7514768435208588,4.090748411000806,1,-88.84482758620689,42.672413793103445,46.55172413793103,4.051484989913136
59,-60,61,True,Goal reached,0.7477194593032545,3.8443838222475115,1,-88.35593220338983,42.983050847457626,47.45762711864407,4.0479748006306675
60,52,21,True,Goal reached,0.7439808620067382,4.475277662298769,1,-86.01666666666667,42.61666666666667,48.333333333333336,4.055096514991803
61,45,32,True,Goal reached,0.7402609576967045,5.058836744512725,1,-83.8688524590164,42.442622950819676,49.18032786885246,4.071551272852801
62,-68,7,False,Trap reached,0.736559652908221,1.0294556604732463,0,-83.61290322580645,41.87096774193548,48.38709677419355,4.022485214588615
63,5,40,True,Goal reached,0.7328768546436799,2.7883555804307747,1,-82.2063492063492,41.84126984126984,49.2063492063492,4.002895855316268
64,35,26,True,Goal reached,0.7292124703704616,4.7129291031211835,1,-80.375,41.59375,50.0,4.01399012481322
65,-81,16,False,Trap reached,0.7255664080186093,1.092011161337318,0,-80.38461538461539,41.2,49.23076923076923,3.969036602298206
66,31,22,True,Goal reached,0.7219385759785162,3.2312391423104927,1,-78.6969696969697,40.90909090909091,50.0,3.9578578529044526
67,-67,10,False,Trap reached,0.7183288830986236,1.743392200499997,0,-78.5223880597015,40.44776119402985,49.25373134328358,3.9248061267491625
68,57,20,True,Goal reached,0.7147372386831305,4.358020197047061,1,-76.52941176470588,40.14705882352941,50.0,3.9311769219006027
69,66,15,True,Goal reached,0.7111635524897149,2.8525719923449255,1,-74.46376811594203,39.78260869565217,50.72463768115942,3.9155449663997954
70,57,20,True,Goal reached,0.7076077347272662,3.207664114670763,1,-72.58571428571429,39.5,51.42857142857142,3.9054323828036663
71,46,19,True,Goal reached,0.7040696960536299,4.673353930586082,1,-70.91549295774648,39.2112676056338,52.112676056338024,3.9162481792513057
72,42,23,True,Goal reached,0.7005493475733617,3.1398427562094398,1,-69.34722222222223,38.986111111111114,52.77777777777778,3.9054647705979466
73,17,36,True,Goal reached,0.697046600835495,4.425442078192624,1,-68.16438356164383,38.945205479452056,53.42465753424658,3.912587747414312
74,-63,6,False,Trap reached,0.6935613678313175,0.833859084983331,0,-68.0945945945946,38.5,52.702702702702695,3.8709833060301095
75,46,27,True,Goal reached,0.6900935609921609,2.950652894214187,1,-66.57333333333334,38.346666666666664,53.333333333333336,3.858712233872564
76,55,22,True,Goal reached,0.6866430931872001,4.1605213595107955,1,-64.97368421052632,38.13157894736842,53.94736842105263,3.86268340657833
77,27,26,True,Goal reached,0.6832098777212641,3.8219968343025315,1,-63.77922077922078,37.97402597402598,54.54545454545454,3.8621550095357873
78,11,42,True,Goal reached,0.6797938283326578,2.2092879426401204,1,-62.82051282051282,38.02564102564103,55.12820512820513,3.8409644061140478
79,-17,46,True,Goal reached,0.6763948591909945,3.036948243511297,1,-62.24050632911393,38.12658227848101,55.69620253164557,3.830786986334267
80,-39,52,True,Goal reached,0.6730128848950395,3.3325757641534537,1,-61.95,38.3,56.25,3.8245593460570064
81,67,18,True,Goal reached,0.6696478204705644,1.8781852703411381,1,-60.358024691358025,38.04938271604938,56.79012345679012,3.800530036480267
82,88,9,True,Goal reached,0.6662995813682115,1.8167949504801424,1,-58.548780487804876,37.69512195121951,57.3170731707317,3.7763381451875824
83,30,27,True,Goal reached,0.6629680834613705,2.67419415369708,1,-57.48192771084337,37.566265060240966,57.831325301204814,3.7630593019166128
84,64,17,True,Goal reached,0.6596532430440636,2.10409071794313,1,-56.035714285714285,37.32142857142857,58.333333333333336,3.743309675916928
85,-60,61,True,Goal reached,0.6563549768288433,2.5742914312469267,1,-56.082352941176474,37.6,58.82352941176471,3.7295565200972813
86,43,26,True,Goal reached,0.653073201944699,3.585468419516822,1,-54.93023255813954,37.46511627906977,59.30232558139535,3.727881077067276
87,43,26,True,Goal reached,0.6498078359349755,3.025632568551096,1,-53.804597701149426,37.333333333333336,59.77011494252874,3.719809255130308
88,46,27,True,Goal reached,0.6465587967553006,4.215908899280642,1,-52.67045454545455,37.21590909090909,60.22727272727273,3.725446751086562
89,48,17,True,Goal reached,0.6433260027715241,2.738823285936384,1,-51.53932584269663,36.98876404494382,60.67415730337079,3.7143610941747625
90,57,20,True,Goal reached,0.6401093727576664,2.3919923473400573,1,-50.333333333333336,36.8,61.111111111111114,3.6996681080988214
91,66,15,True,Goal reached,0.6369088258938781,3.871397801753723,1,-49.05494505494506,36.56043956043956,61.53846153846154,3.701555247589534
92,60,21,True,Goal reached,0.6337242817644086,2.619683194791584,1,-47.869565217391305,36.391304347826086,61.95652173913043,3.689795768754774
93,-3,48,True,Goal reached,0.6305556603555866,2.9038729730485606,1,-47.38709677419355,36.516129032258064,62.365591397849464,3.681344986005245
94,49,20,True,Goal reached,0.6274028820538087,2.0953392105843487,1,-46.361702127659576,36.340425531914896,62.76595744680851,3.664472584139065
95,77,16,True,Goal reached,0.6242658676435396,1.9661803488715996,1,-45.06315789473684,36.126315789473686,63.1578947368421,3.6465958237678286
96,23,30,True,Goal reached,0.6211445383053219,2.6700390045982942,1,-44.354166666666664,36.0625,63.541666666666664,3.6364233569014797
97,83,10,True,Goal reached,0.6180388156137953,2.2938782117565264,1,-43.04123711340206,35.79381443298969,63.91752577319587,3.622582685302047
98,46,19,True,Goal reached,0.6149486215357263,2.3645917131101317,1,-42.13265306122449,35.62244897959184,64.28571428571429,3.6097460427286605
99,67,18,True,Goal reached,0.6118738784280476,1.8294021940847003,1,-41.03030303030303,35.44444444444444,64.64646464646465,3.591762771530236
100,72,17,True,Goal reached,0.6088145090359074,2.6835301036416865,1,-39.9,35.26,65.0,3.5826804448513507
101,91,10,True,Goal reached,0.6057704364907278,1.7157631044384765,1,-37.64,35.06,66.0,3.5498380758957353
102,72,17,True,Goal reached,0.6027415843082742,5.314410000000002,1,-35.94,35.1,67.0,3.5529821758957354
103,36,29,True,Goal reached,0.5997278763867329,2.5575869240941955,1,-35.73,35.09,67.0,3.4785580451366775
104,84,13,True,Goal reached,0.5967292370047992,3.619790186693436,1,-33.45,34.87,68.0,3.4697559470036117
105,29,32,True,Goal reached,0.5937455908197752,3.2687942939822605,1,-32.58,35.14,69.0,3.4574438899434345
106,58,23,True,Goal reached,0.5907768628656763,2.3753255740832344,1,-31.07,35.17,70.0,3.4406971456842665
107,59,18,True,Goal reached,0.5878229785513479,2.95515903739075,1,-29.58,35.22,71.0,3.4337987360581748
108,69,16,True,Goal reached,0.5848838636585911,2.7415421672391105,1,-25.69,34.38,72.0,3.456214157730565
109,74,15,True,Goal reached,0.5819594443402982,2.5910787502931996,1,-22.19,33.53,73.0,3.473524945233497
110,31,30,True,Goal reached,0.5790496471185967,2.426149651953814,1,-20.86,33.12,73.0,3.4077864417530357
111,74,15,True,Goal reached,0.5761543988830038,1.3389434194855738,1,-19.23,32.57,73.0,3.340175875947892
112,3,42,True,Goal reached,0.5732736268885887,2.564476164454808,1,-16.58,32.18,74.0,3.3330156375924394
113,40,25,True,Goal reached,0.5704072587541458,2.3542506330235327,1,-14.49,32.03,75.0,3.327033643922675
114,40,25,True,Goal reached,0.567555222460375,3.2177324028146774,1,-11.37,31.53,76.0,3.3187109679508215
115,36,21,True,Goal reached,0.5647174463480732,2.2829823729993244,1,-8.45,30.74,77.0,3.3371151108464754
116,60,21,True,Goal reached,0.5618938591163328,2.506823769305111,1,-6.38,30.61,78.0,3.335611298539527
117,76,13,True,Goal reached,0.5590843898207511,2.557259475096851,1,-4.35,30.36,79.0,3.3372690482904956
118,79,14,True,Goal reached,0.5562889678716474,2.7849123438755203,1,-2.24,29.65,79.0,3.2922181717292505
119,74,15,True,Goal reached,0.5535075230322891,1.6660251737162355,1,-1.1,29.31,79.0,3.2088784234664125
120,13,40,True,Goal reached,0.5507399854171277,2.9484556313961843,1,-1.21,29.38,79.0,3.172752979780375
121,84,13,True,Goal reached,0.547986285490042,2.189514076444212,1,1.51,28.58,79.0,3.135599120544817
122,74,15,True,Goal reached,0.5452463540625918,1.9708189043250997,1,3.12,28.59,80.0,3.133783949088068
123,71,14,True,Goal reached,0.5425201222922789,2.114541224571198,1,5.0,27.99,80.0,3.10178526133378
124,66,23,True,Goal reached,0.5398075216808175,1.9514098990337203,1,5.12,28.03,80.0,3.0734696703241173
125,40,25,True,Goal reached,0.5371084840724134,3.5945585983741317,1,5.34,27.89,80.0,3.0194152563078585
126,71,14,True,Goal reached,0.5344229416520513,2.6984114309906246,1,8.77,27.03,81.0,3.041203946253563
127,50,23,True,Goal reached,0.531750826943791,2.4299528387777585,1,9.68,26.72,81.0,3.0224567536413414
128,76,13,True,Goal reached,0.5290920728090721,1.7592036234919064,1,11.29,26.73,82.0,3.02067776542626
129,86,11,True,Goal reached,0.5264466124450268,1.8813624161155076,1,15.03,25.84,83.0,3.0172563534103323
130,86,11,True,Goal reached,0.5238143793828016,2.1264853724424384,1,16.36,25.35,83.0,2.9964806810947575
131,60,21,True,Goal reached,0.5211953074858876,2.4648895953428074,1,18.35,25.22,84.0,3.0036956550431855
132,58,15,True,Goal reached,0.5185893309484582,1.753992665633504,1,18.81,25.08,84.0,2.9402355816995196
133,37,32,True,Goal reached,0.5159963842937159,3.1486967635885854,1,22.26,24.4,85.0,2.964482859654065
134,54,19,True,Goal reached,0.5134164023722473,1.623814196952523,1,22.95,24.15,85.0,2.907821001623591
135,3,34,True,Goal reached,0.510849320360386,2.678707225985976,1,23.99,24.29,86.0,2.8981580738834505
136,71,14,True,Goal reached,0.5082950737585841,1.6008526043793054,1,26.01,24.09,87.0,2.8984760701227437
137,47,30,True,Goal reached,0.5057535983897912,1.6445236355127761,1,26.34,24.04,87.0,2.880053462467871
138,73,12,True,Goal reached,0.5032248303978422,1.6475012646208569,1,28.24,23.88,88.0,2.8637234751140794
139,86,11,True,Goal reached,0.500708706245853,1.2926046592120173,1,29.92,23.86,89.0,2.86252804488215
140,77,16,True,Goal reached,0.4982051627146237,1.3546655749298324,1,30.28,23.82,89.0,2.810464700631448
141,91,10,True,Goal reached,0.49571413690105054,1.411270477356389,1,30.9,23.6,89.0,2.7775467074240123
142,55,22,True,Goal reached,0.4932355662165453,2.9996776814394206,1,31.47,23.39,89.0,2.766467418210941
143,78,11,True,Goal reached,0.4907693883854626,1.2291523087187812,1,31.7,23.28,89.0,2.7454748002133016
144,83,10,True,Goal reached,0.4883155414435353,0.8496139893857872,1,33.36,23.2,90.0,2.7412616109655144
145,81,12,True,Goal reached,0.4858739637363176,1.01632488920891,1,34.7,23.28,91.0,2.739986463630123
146,77,16,True,Goal reached,0.483444593917636,1.2424223785397075,1,35.91,22.83,91.0,2.7201553034878057
147,59,18,True,Goal reached,0.4810273709480478,1.5749822274805112,1,37.58,22.7,92.0,2.706380625762611
148,79,14,True,Goal reached,0.47862223409330756,1.1370203698138042,1,39.24,22.7,93.0,2.6911787794607487
149,48,33,True,Goal reached,0.47622912292284103,1.5680063666024537,1,39.44,22.74,93.0,2.6478098431267734
150,86,11,True,Goal reached,0.4738479773082268,1.4202818655121519,1,41.91,21.91,93.0,2.6069308994398863
151,43,26,True,Goal reached,0.47147873742168567,2.510701067647666,1,42.57,21.65,93.0,2.59555549054879
152,63,22,True,Goal reached,0.46912134373457726,1.471049592415028,1,44.06,21.7,94.0,2.5816495787293237
153,81,12,True,Goal reached,0.46677573701590436,1.1484814729691166,1,44.69,21.51,94.0,2.539844472416899
154,83,10,True,Goal reached,0.46444185833082485,0.35580026649911645,1,44.83,21.45,94.0,2.493862200044691
155,73,20,True,Goal reached,0.46211964903917074,1.3455604795052167,1,46.16,21.58,95.0,2.4857944443397435
156,73,12,True,Goal reached,0.4598090507939749,0.8717604317383945,1,46.51,21.43,95.0,2.471758394380675
157,83,10,True,Goal reached,0.457510005540005,1.2242624472313466,1,48.1,21.38,96.0,2.464629994402989
158,86,11,True,Goal reached,0.45522245551230495,0.7930983646736749,1,48.53,21.31,96.0,2.4316534939397174
159,86,11,True,Goal reached,0.4529463432347434,0.9459245454619776,1,49.99,20.81,96.0,2.4026689011718623
160,84,13,True,Goal reached,0.4506816115185697,1.1125016128318421,1,50.31,20.73,96.0,2.369041140677193
161,71,14,True,Goal reached,0.4484282034609769,0.7955805219096348,1,50.57,20.55,96.0,2.326408578451162
162,82,15,True,Goal reached,0.446186062443672,1.077781307337446,1,52.07,20.63,97.0,2.3268918349198042
163,84,13,True,Goal reached,0.4439551321314536,0.8844047953109708,1,52.86,20.36,97.0,2.307852327068606
164,60,21,True,Goal reached,0.4417353564707963,1.1291318055497257,1,53.11,20.31,97.0,2.2720143540928914
165,91,10,True,Goal reached,0.43952667968844233,0.31438164763804366,1,54.83,20.25,98.0,2.2642380589558986
166,91,10,True,Goal reached,0.43732904629000013,0.2831446184899278,1,55.43,20.13,98.0,2.234757113717693
167,70,19,True,Goal reached,0.4351424010585501,2.089689544061706,1,56.8,20.22,99.0,2.23822008715331
168,76,13,True,Goal reached,0.43296668905325736,0.766332630388618,1,56.99,20.15,99.0,2.2023032114867256
169,88,9,True,Goal reached,0.43080185560799106,0.130596300588266,1,57.21,20.09,99.0,2.175083454569159
170,78,11,True,Goal reached,0.4286478463299511,1.0314992890480923,1,57.42,20.0,99.0,2.1533218063129325
171,71,22,True,Goal reached,0.42650460709830135,1.8965183175094467,1,57.67,20.03,99.0,2.125553450182166
172,66,15,True,Goal reached,0.42437208406280985,3.0558799881181073,1,57.91,19.95,99.0,2.1247138225012527
173,83,10,True,Goal reached,0.4222502236424958,1.7164196233509088,1,58.57,19.69,99.0,2.0976235979528353
174,81,12,True,Goal reached,0.42013897252428334,0.6588951792954205,1,60.01,19.75,100.0,2.0958739588959565
175,83,10,True,Goal reached,0.4180382776616619,0.5118111879735494,1,60.38,19.58,100.0,2.0714855418335505
176,88,9,True,Goal reached,0.4159480862733536,0.1358387819898894,1,60.71,19.45,100.0,2.031238716058341
177,62,27,True,Goal reached,0.41386834584198684,1.5552870528034077,1,61.06,19.46,100.0,2.0085716182433497
178,50,23,True,Goal reached,0.4117990041127769,3.207077123027439,1,61.45,19.27,100.0,2.018549510047223
179,81,12,True,Goal reached,0.40974000909221303,0.6635309086946393,1,62.43,18.93,100.0,1.9948153366990564
180,64,17,True,Goal reached,0.40769130904675194,2.9430058844300007,1,63.46,18.58,100.0,1.9909196379018217
181,81,12,True,Goal reached,0.40565285250151817,0.9451425436675223,1,63.6,18.52,100.0,1.9815892106350856
182,78,11,True,Goal reached,0.4036245882390106,0.8521274338264391,1,63.5,18.54,100.0,1.9719425354685487
183,72,17,True,Goal reached,0.4016064652978155,1.1289497967841342,1,63.92,18.44,100.0,1.9564900918994192
184,79,14,True,Goal reached,0.3995984329713264,0.8837151052837413,1,64.07,18.41,100.0,1.9442863357728255
185,81,12,True,Goal reached,0.3976004408064698,1.4173365872732333,1,65.48,17.92,100.0,1.9327167873330884
186,88,9,True,Goal reached,0.39561243860243744,0.5092347149319352,1,65.93,17.75,100.0,1.9019544502872394
187,46,27,True,Goal reached,0.3936343764094253,4.047483692124073,1,65.96,17.76,100.0,1.912172961522969
188,88,9,True,Goal reached,0.39166620452737816,0.23373968255890532,1,66.38,17.58,100.0,1.8723512693557518
189,76,13,True,Goal reached,0.3897078735047413,0.9069213862904419,1,66.66,17.54,100.0,1.8540322503592928
190,88,9,True,Goal reached,0.3877593341372176,0.9235331281443138,1,66.97,17.43,100.0,1.8393476581673351
191,83,10,True,Goal reached,0.3858205374665315,0.46080552950979836,1,67.14,17.38,100.0,1.8052417354448957
192,77,16,True,Goal reached,0.38389143477919885,0.759470418934896,1,67.31,17.33,100.0,1.7866396076863291
193,93,8,True,Goal reached,0.3819719776053028,0.009297694467718998,1,68.27,16.93,100.0,1.7576938549005205
194,76,13,True,Goal reached,0.3800621177172763,0.8594058104969022,1,68.54,16.86,100.0,1.745334520899646
195,86,11,True,Goal reached,0.37816180712868996,0.7734569451647744,1,68.63,16.81,100.0,1.7334072868625778
196,79,14,True,Goal reached,0.37627099809304654,0.5475731272486115,1,69.19,16.65,100.0,1.7121826280890813
197,77,16,True,Goal reached,0.3743896431025813,0.8124012193134149,1,69.13,16.71,100.0,1.6973678581646499
198,57,20,True,Goal reached,0.37251769488706843,3.139484045805178,1,69.24,16.72,100.0,1.7051167814916004
199,81,12,True,Goal reached,0.3706551064126331,0.5770288189587376,1,69.38,16.66,100.0,1.6925930477403406
200,79,14,True,Goal reached,0.36880183088056995,0.697695275953734,1,69.45,16.63,100.0,1.6727346994634613
201,84,13,True,Goal reached,0.3669578217261671,0.7211924089434802,1,69.38,16.66,100.0,1.662788992508511
202,69,16,True,Goal reached,0.36512303261753626,1.048933850817491,1,69.35,16.65,100.0,1.620134231016686
203,62,19,True,Goal reached,0.3632974174544486,0.8414064699515151,1,69.61,16.55,100.0,1.6029724264752594
204,47,22,True,Goal reached,0.3614809303671764,3.086232473308275,1,69.24,16.64,100.0,1.597636849341408
205,83,10,True,Goal reached,0.3596735257153405,0.5663751961701067,1,69.78,16.42,100.0,1.5706126583632862
206,52,21,True,Goal reached,0.3578751580867638,0.7589402008525354,1,69.72,16.4,100.0,1.5544488046309792
207,86,11,True,Goal reached,0.35608578229633,0.4073167044986121,1,69.99,16.33,100.0,1.5289703813020576
208,91,10,True,Goal reached,0.3543053533848483,0.19620818156523967,1,70.21,16.27,100.0,1.5035170414453192
209,86,11,True,Goal reached,0.35253382661792404,0.4618116740599518,1,70.33,16.23,100.0,1.482224370682987
210,65,20,True,Goal reached,0.3507711574848344,2.6217396515832228,1,70.67,16.13,100.0,1.4841802706792806
211,83,10,True,Goal reached,0.34901730169741024,0.42438113502322494,1,70.76,16.08,100.0,1.4750346478346572
212,81,12,True,Goal reached,0.3472722151889232,0.325672549512781,1,71.54,15.78,100.0,1.452646611685237
213,68,13,True,Goal reached,0.3455358541129786,0.4596021670218491,1,71.82,15.66,100.0,1.43370012702522
214,93,8,True,Goal reached,0.3438081748424137,0.0017819529241691612,1,72.35,15.49,100.0,1.4015406225263152
215,76,13,True,Goal reached,0.3420891339682016,2.4902930989961973,1,72.75,15.41,100.0,1.4036137297862836
216,46,27,True,Goal reached,0.3403786882983606,0.8545071782941633,1,72.61,15.47,100.0,1.3870905638761741
217,93,8,True,Goal reached,0.3386767948568688,0.0015266444527810563,1,72.78,15.42,100.0,1.3615332355697336
218,79,14,True,Goal reached,0.33698341088258443,0.1090115489047605,1,72.78,15.42,100.0,1.3347742276200258
219,79,14,True,Goal reached,0.3352984938281715,0.24004338265261538,1,72.83,15.41,100.0,1.32051440970939
220,83,10,True,Goal reached,0.33362200135903064,0.3819579087314935,1,73.53,15.11,100.0,1.294849432482743
221,77,16,True,Goal reached,0.33195389135223546,0.3727068143232799,1,73.46,15.14,100.0,1.2766813598615334
222,60,21,True,Goal reached,0.3302941218954743,2.8263335213791336,1,73.32,15.2,100.0,1.2852365060320738
223,78,11,True,Goal reached,0.32864265128599696,0.556534136988482,1,73.39,15.17,100.0,1.2696564351562467
224,89,12,True,Goal reached,0.326999438029567,0.65022257717213,1,73.62,15.06,100.0,1.2566445619376307
225,93,8,True,Goal reached,0.3253644408394192,0.0008673328810573366,1,74.15,14.89,100.0,1.2207076492827
226,86,11,True,Goal reached,0.3237376186352221,0.5852248586573623,1,74.3,14.86,100.0,1.1995757835593674
227,78,11,True,Goal reached,0.322118930542046,0.3409130803161702,1,74.58,14.74,100.0,1.1786853859747517
228,88,9,True,Goal reached,0.32050833588933575,0.3068232596125995,1,74.7,14.7,100.0,1.1641615823359586
229,91,10,True,Goal reached,0.31890579420988907,0.5267266095607894,1,74.75,14.69,100.0,1.1506152242704113
230,88,9,True,Goal reached,0.3173112652388396,0.1749916781201506,1,74.77,14.67,100.0,1.1311002873271885
231,81,12,True,Goal reached,0.3157247089126454,0.7705297997091876,1,74.98,14.58,100.0,1.1141566893708523
232,88,9,True,Goal reached,0.3141460853680822,0.06119160584286476,1,75.28,14.52,100.0,1.097228678772946
233,88,9,True,Goal reached,0.3125753549412418,0.045720015830966076,1,75.79,14.29,100.0,1.0661989112953696
234,71,14,True,Goal reached,0.31101247816653554,0.3437703908792713,1,75.96,14.24,100.0,1.053398473234637
