State,UP,DOWN,LEFT,RIGHT
"(0, 0)",-4.021964991383408,41.51264488778425,3.720984046751824,2.1580860705168408
"(0, 2)",84.26220050527199,82.87806366351901,84.28795267835174,93.99999999999989
"(0, 3)",89.90841850185217,89.97512705381699,88.1741256244809,99.99999999999994
"(0, 4)",0.0,0.0,0.0,0.0
"(1, 0)",17.671809347631168,68.19973103512143,17.87053366884153,37.20504997068766
"(1, 2)",88.29999999999981,77.71307348866281,78.84278562531256,78.87891780417586
"(1, 4)",52.17031,2.796157795357788,4.356310499999999,7.265790000000001
"(2, 0)",63.699467786629846,63.777345111867184,64.16344008126987,72.85371249999966
"(2, 1)",68.82719306202162,68.76836910867186,68.18085985523636,77.74074999999971
"(2, 2)",82.88499999999976,73.62270833881813,72.72685418551563,73.71973698802736
"(2, 4)",20.33381472767015,-0.4023835877624923,-0.9460968220123052,0.033907749604908055
"(3, 0)",68.21102687499962,59.46652297135979,59.73917996831417,59.6830909329623
"(3, 3)",-4.810077161142638,-2.0248011556997927,-5.280834395301139,0.7120239837512772
"(3, 4)",4.273865182533298,-34.3094701955,-0.9357136982070016,-3.357037761011471
"(4, 0)",63.8004755312496,55.37386470168283,55.395931282996415,55.09349433804689
"(4, 1)",31.648115594759204,26.526375875212132,59.53149850131179,4.522479603904533
"(4, 2)",-6.012371934649877,-5.6949272575302,25.549821703734242,-2.6491502247229595
"(4, 3)",-1.529037622811633,-5.042242001778541,-2.6392577032645455,-42.49526823515005
"(4, 4)",0.0,0.0,0.0,0.0
