update,environment_steps,policy_loss,value_loss,entropy,clip_fraction
1,1024,-0.011241219128714874,113.42589244842529,2.808147533237934,0.078125
2,2048,-0.01718137610005215,97.49419186115264,2.7633314445614814,0.11845703125
3,3072,-0.01871281414059922,75.0520103931427,2.733030539751053,0.11767578125
4,4096,-0.015274181036511436,43.84120440483093,2.709676522016525,0.101953125
5,5120,-0.006093296769540757,40.15175461769104,2.6782616183161734,0.0978515625
6,6144,-0.004901452560443431,49.25777177810669,2.635827338695526,0.034765625
7,7168,-0.010879315109923482,49.84131937026977,2.606285239756107,0.07421875
8,8192,-0.015433607724844478,69.85417339801788,2.59303615540266,0.08876953125
9,9216,-0.015194613166386262,62.03643856048584,2.5806473791599274,0.08017578125
10,10240,-0.011160745943197981,45.40445901155472,2.564266112446785,0.09345703125
11,11264,-0.011586721439380198,30.07041345834732,2.5427099794149397,0.07373046875
12,12288,-0.014734910766128451,18.7919710457325,2.5119581922888754,0.13037109375
13,13312,-0.014944462431594729,16.367733639478683,2.481329230964184,0.18125
14,14336,-0.017424055363517255,15.877997493743896,2.45111483335495,0.1724609375
15,15360,-0.014699735608883203,13.63351643383503,2.4282690435647964,0.14189453125
16,16384,-0.017522338981507346,11.622666683793067,2.3997657254338263,0.1408203125
17,17408,-0.010289157374063506,6.381637161970138,2.3757631361484526,0.13359375
18,18432,-0.009919978759717197,7.762606906890869,2.3488343387842177,0.141796875
19,19456,-0.010178402956807987,9.626043927669524,2.3169132232666017,0.07275390625
20,20480,-0.0016013943881262095,4.506884317100048,2.2928652450442315,0.0556640625
21,21504,-0.010185729584190995,4.680421511828899,2.269387125968933,0.06708984375
22,22528,-0.0036902834486681967,5.524951834976673,2.239901439845562,0.097265625
23,23552,-0.00644878217135556,5.610397134721279,2.211911441385746,0.09794921875
24,24576,-0.008247103751637041,12.332368558645248,2.1932370603084563,0.09609375
25,25600,-0.003224521363154054,8.713874851167201,2.182464250922203,0.09208984375
26,26624,-0.009167465753853321,6.385536730289459,2.1542658865451814,0.1525390625
27,27648,-0.009211483947001397,3.992197284847498,2.1275845259428023,0.08857421875
28,28672,-0.006058340583695099,7.8619779869914055,2.096659441292286,0.1509765625
29,29696,-0.011709192127455026,3.908797562122345,2.077998624742031,0.14755859375
30,30720,-0.007777788914972916,6.191952195763588,2.0634635895490647,0.09404296875
31,31744,-0.007520466287678574,3.520626264065504,2.0438796490430833,0.0826171875
32,32768,-0.00495702046318911,3.0853609375655653,2.020428737998009,0.13251953125
33,33792,-0.002086774495546706,2.7158438518643377,1.989232534915209,0.12958984375
34,34816,-0.0008678877929924056,2.3898291006684302,1.9620051883161067,0.11142578125
35,35840,-0.0034621754952240736,2.499525487050414,1.9364301189780235,0.1330078125
36,36864,-0.009158246056176721,6.642400534451008,1.9310531675815583,0.0912109375
37,37888,-0.004087758529931307,2.0461410995572806,1.9315098091959952,0.0478515625
38,38912,-0.008328504563542083,2.0617999959737063,1.923099296540022,0.05849609375
39,39936,-0.006631988589651883,1.513286105543375,1.8999026902019978,0.1060546875
40,40960,-0.008246313713607378,3.069047671556473,1.8732024133205414,0.14716796875
41,41984,-0.002563231985550374,2.083732181042433,1.843752809613943,0.13173828125
42,43008,-0.0018300510302651674,1.825701354444027,1.8220133990049363,0.102734375
43,44032,-0.006008753832429647,2.9339789621531964,1.7913610182702542,0.09453125
44,45056,-0.009363367887272035,1.6454212572425604,1.763251856714487,0.09658203125
45,46080,-0.0038293604680802672,5.096049711108208,1.7494018614292144,0.10849609375
46,47104,-0.007664819416822866,3.605914743989706,1.73990790694952,0.15634765625
47,48128,0.004328391805756837,3.0245674163103105,1.7296184822916985,0.19052734375
48,49152,-0.009778233492397703,6.418290495872498,1.715479703247547,0.1080078125
49,50176,-0.0014232165092835202,3.259113448858261,1.6916570618748665,0.100390625
50,51200,-0.008344239153666421,2.579881013929844,1.6626395277678967,0.11376953125
51,52224,-0.0028944231860805305,3.059045423939824,1.6435668222606181,0.07734375
52,53248,-0.004780387197388336,2.366544654965401,1.6279180459678173,0.146875
53,54272,0.0018031409766990692,1.3909560903906821,1.6003221213817596,0.20673828125
54,55296,-0.0064275563636329025,2.7929587848484516,1.577987039834261,0.18291015625
55,56320,-0.0019171596999512986,3.2166727805510162,1.5447981804609299,0.1634765625
56,57344,-0.0032254193851258607,1.2826368246227502,1.5123020850121975,0.2921875
57,58368,-0.0021873894205782563,1.4320269979536533,1.4731341004371643,0.23486328125
58,59392,-0.004354435094865039,1.7052453506737948,1.4327044636011124,0.20927734375
59,60416,-0.00490036946721375,0.8371330790221692,1.3770385310053825,0.16884765625
60,61440,0.007416242471663281,1.988596836104989,1.3149726569652558,0.23359375
61,62464,-0.008144793275278062,1.239977154508233,1.2796741768717765,0.16865234375
62,63488,-0.008016238058917224,1.0731105089187623,1.2339271366596223,0.21884765625
63,64512,-0.01523586857074406,0.9235166598111391,1.1817296102643013,0.227734375
64,65536,-0.013713731488678604,0.9451658982783556,1.1349426567554475,0.2076171875
65,66560,-0.005670348519925028,1.3054533291608095,1.064216721057892,0.17392578125
66,67584,-0.013289553771028296,1.0154322318732738,1.0027631789445877,0.20966796875
67,68608,-0.00918975361273624,1.065155676007271,0.950077423080802,0.23115234375
68,69632,-0.01598582195583731,1.2841595634818077,0.8824965950101614,0.2357421875
69,70656,-0.013853219911106862,1.0738139670342206,0.8279831811785698,0.205859375
70,71680,-0.022379255306441338,1.1980098351836204,0.7806418597698211,0.2748046875
71,72704,-0.011503065517172218,0.891091944463551,0.7146207381039857,0.12763671875
72,73728,-0.01268691238365136,0.6788626981899142,0.648411562666297,0.1546875
73,74752,-0.011150041088694707,1.0016279758885502,0.6127072501927614,0.13837890625
74,75776,-0.009662951726932078,0.7602856293320656,0.5679444707930088,0.11181640625
75,76800,-0.009916616405826062,0.6051853099837899,0.5048496432602405,0.1015625
76,77824,-0.010639912815531716,0.5010002754628659,0.43329292349517345,0.1134765625
77,78848,-0.014136506681097671,0.7305080251768231,0.37701045721769333,0.1720703125
78,79872,-0.011378726951079443,0.6507346356287599,0.32116797417402265,0.1107421875
79,80896,-0.011510828579775988,0.43378886226564645,0.2530425786972046,0.09736328125
80,81920,-0.010776233149226756,0.49110730122774837,0.18295898512005807,0.10927734375
81,82944,-0.016070852393750102,0.4270085175521672,0.12003522589802743,0.15986328125
82,83968,-0.007718921249033883,0.40927250096574425,0.06677665114402771,0.1146484375
83,84992,-0.01034555129299406,0.4858766239136457,0.02737045884132385,0.140234375
84,86016,-0.005857998938881792,0.7453264769166708,-0.0002636529505252838,0.09501953125
85,87040,-0.007356361293932423,0.5873840561136603,-0.03501938655972481,0.12705078125
86,88064,-0.00771569688222371,0.4471935838460922,-0.06653814390301704,0.15673828125
87,89088,-0.012339804053772241,0.295891940407455,-0.10861574336886406,0.1083984375
88,90112,-0.010185073834145441,0.44856739044189453,-0.16737781465053558,0.1142578125
89,91136,-0.0097890060802456,0.2831056095659733,-0.21438140347599982,0.177734375
90,92160,-0.016705830954015254,0.22812413526698946,-0.2733829103410244,0.1826171875
91,93184,-0.01091463413904421,0.2600743747316301,-0.33501899763941767,0.16455078125
92,94208,-0.011337771941907705,0.35622644182294605,-0.38069969303905965,0.13564453125
93,95232,-0.008736377346212975,0.3639957981184125,-0.41449810080230237,0.13525390625
94,96256,-0.00830481604207307,0.23873272435739637,-0.44456034898757935,0.18330078125
95,97280,-0.011240839114179835,0.23209508862346412,-0.48177006617188456,0.18935546875
96,98304,-0.009094653307693079,0.21529197185300292,-0.5252028834074736,0.14931640625
97,99328,-0.0149696102947928,0.18844201886095108,-0.582360765710473,0.16962890625
98,100352,-0.007212543638888747,0.1676169021986425,-0.6432709224522114,0.13642578125
99,101376,-0.007592017605202272,0.18989986861124636,-0.6884894859045744,0.134765625
100,102400,-0.012161491898586974,0.6642261315137148,-0.7051390696316957,0.18447265625
