Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.8689,0.8333,0.8929,0.8621,0.9524
Bayesian Logistic Regression,0.9016,0.8667,0.9286,0.8966,0.9416
