Treatment,count,mean,std,min,25%,50%,75%,max
Dish,32.0,1.4564,0.1848,0.9552,1.429,1.5109,1.5813,1.6993
Tube,32.0,0.9296,0.0502,0.7951,0.9151,0.9391,0.9535,1.0004
